artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Dorothy,5ITw1gs95vZpnZlS0JUwkS,Wicked Ones,0.563,0.647,5,-4.675,1,0.0398,0.0337,0.0,0.359,0.691,96.386,52,modern_alternative_rock modern_blues_rock modern_hard_rock,0,"['modern_alternative_rock', 'modern_blues_rock', 'modern_hard_rock']",low,Neutral
Enjambre,0zNeZTy7nLEWCRrBgjrBx5,Impacto,0.727,0.706,4,-6.235,1,0.0247,0.067,0.000176,0.133,0.772,108.499,65,indie_rock_mexicano latin_alternative latin_rock mexican_rock rock_en_espanol,50,"['indie_rock_mexicano', 'latin_alternative', 'latin_rock', 'mexican_rock', 'rock_en_espanol']",low,Neutral
Pescado Rabioso,5eK0UAeymUyyXILUAefcj5,Me Gusta Ese Tajo,0.459,0.717,11,-8.16,0,0.0487,0.00159,0.793,0.213,0.673,157.436,51,argentine_rock rock_nacional,48,"['argentine_rock', 'rock_nacional']",low,Neutral
Fernando Delgadillo,45dK5t0NaS3zBrP4yjfGXz,Noche Sin Luciérnagas,0.753,0.38,6,-6.811,1,0.0428,0.927,1.58e-06,0.104,0.431,134.874,46,cantautor nueva_cancion trova trova_mexicana,42,"['cantautor', 'nueva_cancion', 'trova', 'trova_mexicana']",low,Neutral
Newsboys,3dVsYiHV3ekE8hS17Lmyck,All I Want For Christmas Is You,0.559,0.909,0,-6.215,1,0.0713,0.0244,0.0,0.0676,0.594,150.01,55,ccm christian_alternative_rock christian_music,0,"['ccm', 'christian_alternative_rock', 'christian_music']",low,Neutral
The Presidents Of The United States Of America,5rsiXpifJ6NLCpdhTgOWU6,Cleveland Rocks,0.438,0.816,1,-7.573,1,0.0564,0.0171,0.0,0.382,0.644,148.244,56,alternative_rock grunge pop_rock,38,"['alternative_rock', 'grunge', 'pop_rock']",low,Neutral
Enjambre,067myxyF0oOrjlStXYE3gW,Sanguijuela,0.428,0.945,4,-3.256,1,0.052,0.0097,2.81e-06,0.117,0.456,143.876,65,indie_rock_mexicano latin_alternative latin_rock mexican_rock rock_en_espanol,48,"['indie_rock_mexicano', 'latin_alternative', 'latin_rock', 'mexican_rock', 'rock_en_espanol']",low,Neutral
Enjambre,1hsvFo7ECcXn617aFGqSfG,En Tu Día,0.423,0.903,9,-7.135,1,0.0422,0.00101,0.366,0.108,0.746,158.003,65,indie_rock_mexicano latin_alternative latin_rock mexican_rock rock_en_espanol,47,"['indie_rock_mexicano', 'latin_alternative', 'latin_rock', 'mexican_rock', 'rock_en_espanol']",low,Neutral
La Vela Puerca,2JT6jOMYwTE9eDMwXqeLZn,Zafar - En Vivo,0.351,0.637,7,-8.241,1,0.0334,0.552,0.0,0.939,0.611,100.968,58,latin_alternative reggae_uruguayo rock_en_espanol rock_uruguayo,35,"['latin_alternative', 'reggae_uruguayo', 'rock_en_espanol', 'rock_uruguayo']",low,Neutral
Las Pastillas del Abuelo,506La0sS4cMOKiMRMKlsrG,Absolutismos,0.59,0.868,4,-3.88,0,0.0394,0.037,2.05e-05,0.136,0.498,110.009,60,argentine_rock,42,['argentine_rock'],low,Neutral
Panteon Rococo,2oNMhDpqWkI3oIjOGmqV0z,La Distancia,0.653,0.955,10,-3.378,0,0.19,0.0692,0.0,0.0461,0.904,116.17,62,latin_alternative latin_rock mexican_rock rock_en_espanol ska_mexicano,43,"['latin_alternative', 'latin_rock', 'mexican_rock', 'rock_en_espanol', 'ska_mexicano']",low,Neutral
Estelares,3iIQdR4zxBG2pkBU0L9ooA,Melancolía,0.671,0.775,9,-4.861,0,0.0333,0.0326,0.0,0.467,0.671,131.995,52,argentine_rock,41,['argentine_rock'],low,Neutral
Seether,507bYMYfbm6sUS9iEAaeSd,Broken,0.448,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,66,alternative_metal nu_metal post-grunge south_african_rock,70,"['alternative_metal', 'nu_metal', 'post-grunge', 'south_african_rock']",high,Negative
Alice In Chains,2JuasWPUodaUxf5nwNpciQ,Nutshell,0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136,69,alternative_metal alternative_rock grunge hard_rock nu_metal rock,73,"['alternative_metal', 'alternative_rock', 'grunge', 'hard_rock', 'nu_metal', 'rock']",low,Neutral
Neon Trees,0l4DTppOxy7NUaEcwXuOb6,Animal,0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99,63,modern_rock neo_mellow pop_rock pov:_indie,66,"['modern_rock', 'neo_mellow', 'pop_rock', 'pov:_indie']",low,Neutral
Marilyn Manson,2302lUwfZ4S4dVyPOCDFnQ,Sweet Dreams (Are Made Of This),0.392,0.642,8,-5.267,1,0.0326,0.0048,0.486,0.296,0.129,92.698,66,alternative_metal hard_rock industrial industrial_metal industrial_rock nu_metal post-grunge rock,69,"['alternative_metal', 'hard_rock', 'industrial', 'industrial_metal', 'industrial_rock', 'nu_metal', 'post-grunge', 'rock']",high,Positive
The Score,6e7HeiJ73JX3VWTWsElnIr,In My Bones,0.579,0.678,3,-7.422,0,0.0289,0.000133,0.00114,0.132,0.453,84.076,65,modern_alternative_rock pov:_indie,52,"['modern_alternative_rock', 'pov:_indie']",low,Neutral
